mlb;title;seller;ad_type;price_previous;price_current;discount;installments;date;post link;image link
MLB-4888286052;Placa de vídeo gtx1650 4gb gddr6 amp zotac - t16520j-10l;N/A;Premium;R$ 1.200,00;R$ 1.200,00;0%;em 10x R$120,04 sem juros;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-4888286052-placa-de-video-gtx1650-4gb-gddr6-amp-zotac-t16520j-10l-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_726820-MLB77439269814_072024-E.webp
MLB-3884563971;Placa de vídeo gtx1650 4gb gddr6 amp zotac - t16520j-10l;N/A;Classic;R$ 999,00;R$ 999,00;0%;em 12x R$96,64;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-3884563971-placa-de-video-gtx1650-4gb-gddr6-amp-zotac-t16520j-10l-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_629221-MLA48655228895_122021-E.webp
MLB-3695206229;Placa de vídeo gtx1650 4gb gddr6 amp zotac - t16520j-10l;N/A;Classic;R$ 1.127,00;R$ 1.127,00;0%;em 12x R$109,12;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-3695206229-placa-de-video-gtx1650-4gb-gddr6-amp-zotac-t16520j-10l-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_760928-MLB76438890021_052024-E.webp
MLB-4688649602;Placa de vídeo gtx1650 4gb gddr6 amp zotac - t16520j-10l;N/A;Classic;R$ 1.123,00;R$ 1.123,00;0%;em 12x R$108,67;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-4688649602-placa-de-video-gtx1650-4gb-gddr6-amp-zotac-t16520j-10l-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_726820-MLB77439269814_072024-E.webp
MLB-3911862705;Placa de vídeo zotac gaming geforce gtx 1650 amp core 4gb;N/A;Classic;R$ 1.185,00;R$ 1.185,00;0%;em 12x R$114,70;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-3911862705-placa-de-video-zotac-gaming-geforce-gtx-1650-amp-core-4gb-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_977390-MLB80802770099_112024-E.webp
MLB-3911849903;Placa de vídeo zotac gaming geforce gtx 1650 amp core 4gb;N/A;Premium;R$ 1.280,00;R$ 1.280,00;0%;em 10x R$128,05 sem juros;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-3911849903-placa-de-video-zotac-gaming-geforce-gtx-1650-amp-core-4gb-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_919707-MLB80802771545_112024-E.webp
MLB16077122;Placa de vídeo nvidia galax  ex plus geforce gtx 16 series gtx 1650 65sql8ds93e1 4gb;N/A;Premium;R$ 1.215,00;R$ 840,00;30% OFF;em 10x R$87,80 sem juros;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-nvidia-galax-ex-plus-geforce-gtx-16-series-gtx-1650-65sql8ds93e1-4gb/p/MLB16077122#polycard_client=search-nordic&wid=MLB5155454764&sid=search&searchVariation=MLB16077122&position=4&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_880970-MLU78687019227_082024-E.webp
MLB15995697;Placa de vídeo nvidia msi  ventus xs geforce gtx 16 series gtx 1650 geforce gtx 1650 d6 ventus xs oc oc edition 4gb;Eshop;Premium;R$ 1.148,00;R$ 929,88;19% OFF;em 10x R$92,99 sem juros;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-nvidia-msi-ventus-xs-geforce-gtx-16-series-gtx-1650-geforce-gtx-1650-d6-ventus-xs-oc-oc-edition-4gb/p/MLB15995697#polycard_client=search-nordic&wid=MLB4582352944&sid=search&searchVariation=MLB15995697&position=5&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_773016-MLA52678887951_122022-E.webp
MLB30132464;Placa de vídeo msi geforce gtx 1650 ventus xs ocv3 4gb d6;Nvidia;Premium;R$ 1.247,00;R$ 922,00;26% OFF;em 10x R$92,20 sem juros;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-msi-geforce-gtx-1650-ventus-xs-ocv3-4gb-d6/p/MLB30132464#polycard_client=search-nordic&wid=MLB3663920185&sid=search&searchVariation=MLB30132464&position=6&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_929044-MLU74217636883_012024-E.webp
MLB-5003350928;Placa de vídeo nvidia geforce gtx 1650 ex plus oc 4gb gddr6;N/A;Classic;R$ 1.025,00;R$ 830,99;18% OFF;em 12x R$80,56;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-5003350928-placa-de-video-nvidia-geforce-gtx-1650-ex-plus-oc-4gb-gddr6-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_719727-MLU72573233972_112023-E.webp
MLB-3646574855;Placa de vídeo msi geforce gtx 1650 ventus xs ocv3 4gb gddr6;Eshop;Classic;R$ 1.190,00;R$ 912,42;23% OFF;em 12x R$88,27;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-3646574855-placa-de-video-msi-geforce-gtx-1650-ventus-xs-ocv3-4gb-gddr6-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_745053-MLB75428512962_042024-E.webp
MLB-4682065090;Placa fonte para tv sony kdl-46hx825 1-884-406-11;N/A;Classic;R$ 149,00;R$ 149,00;0%;em 12x R$14,48;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-4682065090-placa-fonte-para-tv-sony-kdl-46hx825-1-884-406-11-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_994502-MLB76368739467_052024-E.webp
MLB-3588267163;Edição video i7 860 16gb ssd 480gb gtx 1650 4gb gddr6 + wifi;N/A;Premium;R$ 2.999,00;R$ 2.999,00;0%;em 10x R$300 sem juros;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-3588267163-edico-video-i7-860-16gb-ssd-480gb-gtx-1650-4gb-gddr6-wifi-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_893130-MLB74392538993_022024-E.webp
MLB-4343851726;Placa de vídeo galax nvidia geforce gtx 1650 vram 4gb gddr6;N/A;Classic;R$ 1.041,00;R$ 843,94;18% OFF;em 12x R$81,82;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-4343851726-placa-de-video-galax-nvidia-geforce-gtx-1650-vram-4gb-gddr6-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_842842-MLB73731487806_012024-E.webp
MLB37995357;Placa de vídeo inno3d nvidia geforce gtx 1650 twin x2 oc v3;N/A;Classic;R$ 1.067,00;R$ 865,00;18% OFF;em 12x R$83,86;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-inno3d-nvidia-geforce-gtx-1650-twin-x2-oc-v3/p/MLB37995357#polycard_client=search-nordic&wid=MLB4857853634&sid=search&searchVariation=MLB37995357&position=7&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_616351-MLU77441730905_072024-E.webp
MLB-3753020771;Placa gráfica msi gaming geforce gtx 1650 d6 ventus xs oc 4g;N/A;Premium;R$ 1.805,00;R$ 1.498,00;17% OFF;em 10x R$149,85 sem juros;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-3753020771-placa-grafica-msi-gaming-geforce-gtx-1650-d6-ventus-xs-oc-4g-_JM#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_678344-CBT76978830574_062024-E.webp
MLB-5094839928;Placa de video colorful geforce gtx 1650 4gb gddr6 v3-v;N/A;Classic;R$ 1.175,00;R$ 951,75;19% OFF;em 12x R$92,07;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-5094839928-placa-de-video-colorful-geforce-gtx-1650-4gb-gddr6-v3-v-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_805970-MLU75690984656_042024-E.webp
MLB-3663825599;Placa de vídeo gtx 1650 d6 ventus xs ocv3 msi nvidia geforce;Nvidia;Classic;R$ 1.122,00;R$ 885,90;21% OFF;em 12x R$85,89;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-3663825599-placa-de-video-gtx-1650-d6-ventus-xs-ocv3-msi-nvidia-geforce-_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_994974-MLB79942862594_102024-E.webp
MLB-4343787496;Placa de vídeo galax nvidia geforce gtx 1650 vram 4gb gddr6;N/A;Premium;R$ 1.099,00;R$ 890,92;18% OFF;em 10x R$89,09 sem juros;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-4343787496-placa-de-video-galax-nvidia-geforce-gtx-1650-vram-4gb-gddr6-_JM#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_624413-MLB73829002443_012024-E.webp
MLB18600968;Placa de vídeo pcyes geforce gtx 1650 gddr6 4gb;N/A;Premium;R$ 1.020,00;R$ 969,00;5% OFF;em 10x R$96,90 sem juros;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-pcyes-geforce-gtx-1650-gddr6-4gb/p/MLB18600968#polycard_client=search-nordic&wid=MLB3802356129&sid=search&searchVariation=MLB18600968&position=8&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_862883-MLU72761476362_112023-E.webp
MLB34721401;Placa de vídeo inno3d geforce gtx1650 twin ocx2 4gb 128-bit;N/A;Premium;R$ 1.127,00;R$ 913,60;18% OFF;em 10x R$91,36 sem juros;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-inno3d-geforce-gtx1650-twin-ocx2-4gb-128-bit/p/MLB34721401#polycard_client=search-nordic&wid=MLB3689493887&sid=search&searchVariation=MLB34721401&position=9&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_689733-MLU75140120752_032024-E.webp
MLB-3304910163;Placa de vídeo gtx 1650 pny nvidia geforce 4gb gddr6;N/A;Classic;R$ 1.590,00;R$ 1.590,00;0%;em 12x R$152,89;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-3304910163-placa-de-video-gtx-1650-pny-nvidia-geforce-4gb-gddr6-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_882416-MLB71331992946_082023-E.webp
MLB18438239;Placa de vídeo nvidia asus  phoenix geforce gtx 16 series gtx 1650 ph-gtx1650-o4gd6-p oc edition 4gb;N/A;Premium;R$ 993,00;R$ 993,00;0%;em 10x R$99,30 sem juros;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-nvidia-asus-phoenix-geforce-gtx-16-series-gtx-1650-ph-gtx1650-o4gd6-p-oc-edition-4gb/p/MLB18438239#polycard_client=search-nordic&wid=MLB3850626441&sid=search&searchVariation=MLB18438239&position=10&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_995935-MLA48159038072_112021-E.webp
MLB15574197;Placa de vídeo nvidia asus  tuf gaming geforce gtx 16 series gtx 1650 super tuf-gtx1650s-o4g-gaming oc edition 4gb;N/A;Classic;R$ 1.723,00;R$ 1.723,00;0%;em 12x R$165,69;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-nvidia-asus-tuf-gaming-geforce-gtx-16-series-gtx-1650-super-tuf-gtx1650s-o4g-gaming-oc-edition-4gb/p/MLB15574197#polycard_client=search-nordic&wid=MLB3738822715&sid=search&searchVariation=MLB15574197&position=11&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_877610-MLU72757255172_112023-E.webp
MLB21591366;Placa de vídeo msi nvd geforce ventusxs v1 gtx1650 4gb gddr6;Infoturbo;Classic;R$ 1.387,00;R$ 984,99;29% OFF;em 12x R$95,29;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-msi-nvd-geforce-ventusxs-v1-gtx1650-4gb-gddr6/p/MLB21591366#polycard_client=search-nordic&wid=MLB3741166014&sid=search&searchVariation=MLB21591366&position=12&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_790990-MLA79694139181_102024-E.webp
MLB29659489;Placa de vídeo msi gtx 1650 d6 ventus xs 4gb ocv3;N/A;Classic;R$ 1.387,00;R$ 1.387,00;0%;em 12x R$134,21;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-msi-gtx-1650-d6-ventus-xs-4gb-ocv3/p/MLB29659489#polycard_client=search-nordic&wid=MLB5159504520&sid=search&searchVariation=MLB29659489&position=13&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_822053-MLU73855745276_012024-E.webp
MLB-5003440294;Placa de vídeo nvidia geforce gtx 1650 ex plus oc 4gb gddr6;N/A;Premium;R$ 1.119,00;R$ 906,99;18% OFF;em 10x R$90,70 sem juros;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-5003440294-placa-de-video-nvidia-geforce-gtx-1650-ex-plus-oc-4gb-gddr6-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_719727-MLU72573233972_112023-E.webp
MLB-3600880867;Placa de video inno3d gtx 1650 twin oc x2 4gb gddr6 128bit;Pichau;Classic;R$ 1.532,00;R$ 1.284,00;16% OFF;em 12x R$124,31;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-3600880867-placa-de-video-inno3d-gtx-1650-twin-oc-x2-4gb-gddr6-128bit-_JM#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_776561-MLB74606644445_022024-E.webp
MLB-5162210164;Placa de vídeo gtx 4gb ddr6 nvidia galax geforce 16 series;N/A;Classic;R$ 1.040,00;R$ 842,40;19% OFF;em 12x R$81,67;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-5162210164-placa-de-video-gtx-4gb-ddr6-nvidia-galax-geforce-16-series-_JM#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_880970-MLU78687019227_082024-E.webp
MLB17719661;Placa de vídeo nvidia gainward  ghost geforce gtx 16 series gtx 1650 ne6165001bg1-1175d 4gb;N/A;Classic;R$ 1.099,00;R$ 890,19;19% OFF;em 12x R$86,30;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-nvidia-gainward-ghost-geforce-gtx-16-series-gtx-1650-ne6165001bg1-1175d-4gb/p/MLB17719661#polycard_client=search-nordic&wid=MLB2005027810&sid=search&searchVariation=MLB17719661&position=14&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_788610-MLA45920740463_052021-E.webp
MLB-3635411227;Placa de vídeo nvidia galax geforce 4gb gtx 1650 1-click oc;N/A;Classic;R$ 1.300,00;R$ 949,00;27% OFF;em 12x R$91,81;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-3635411227-placa-de-video-nvidia-galax-geforce-4gb-gtx-1650-1-click-oc-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_956698-MLB75327026373_032024-E.webp
MLB-3599205673;Placa de vídeo nvidia msi ventus xs geforce gtx 1650 4gb n/f;N/A;Premium;R$ 1.135,00;R$ 1.135,00;0%;em 10x R$113,53 sem juros;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-3599205673-placa-de-video-nvidia-msi-ventus-xs-geforce-gtx-1650-4gb-nf-_JM#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_757218-MLB74568978067_022024-E.webp
MLB-4909684614;Placa de vídeo msi d6 ventusxs ocv3 gtx1650 nvidia gforc 4gb;N/A;Premium;R$ 1.189,00;R$ 1.189,00;0%;em 10x R$119 sem juros;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-4909684614-placa-de-video-msi-d6-ventusxs-ocv3-gtx1650-nvidia-gforc-4gb-_JM#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_602201-MLB77551202714_072024-E.webp
MLB18607762;Placa de vídeo nvidia asus  tuf gaming geforce gtx 16 series gtx 1650 tuf-gtx1650-4gd6-p-gaming 4gb;N/A;Classic;R$ 1.436,00;R$ 1.436,00;0%;em 12x R$138,95;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-nvidia-asus-tuf-gaming-geforce-gtx-16-series-gtx-1650-tuf-gtx1650-4gd6-p-gaming-4gb/p/MLB18607762#polycard_client=search-nordic&wid=MLB3738795955&sid=search&searchVariation=MLB18607762&position=15&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_617843-MLA48790478080_012022-E.webp
MLB38690421;Placa de video mancer geforce gtx 1650, 4gb, gddr6, 128bit;Mancer;Premium;R$ 2.465,00;R$ 1.448,00;41% OFF;em 10x R$144,82 sem juros;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-mancer-geforce-gtx-1650-4gb-gddr6-128bit/p/MLB38690421#polycard_client=search-nordic&wid=MLB4979105336&sid=search&searchVariation=MLB38690421&position=16&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_780512-MLU79179103463_092024-E.webp
MLB15010142;Placa de vídeo nvidia msi  ventus xs geforce gtx 16 series gtx 1650 geforce gtx 1650 ventus xs 4g oc oc edition 4gb;N/A;Classic;R$ 1.094,00;R$ 1.094,00;0%;em 12x R$105,84;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-nvidia-msi-ventus-xs-geforce-gtx-16-series-gtx-1650-geforce-gtx-1650-ventus-xs-4g-oc-oc-edition-4gb/p/MLB15010142#polycard_client=search-nordic&wid=MLB3801888211&sid=search&searchVariation=MLB15010142&position=17&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_971277-MLA54418630988_032023-E.webp
MLB-3830602993;Placa de vídeo inno3d nvidia geforce gtx1650 tx2 oc v3 4g;Tnt info;Classic;R$ 979,00;R$ 979,00;0%;em 12x R$94,71;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-3830602993-placa-de-video-inno3d-nvidia-geforce-gtx1650-tx2-oc-v3-4g-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_616351-MLU77441730905_072024-E.webp
MLB29350183;Placa de vídeo gigabyte nvidia geforce gtx 1650 d6 oc 4g ddr6;N/A;Premium;R$ 1.499,00;R$ 1.499,00;0%;em 10x R$149,90 sem juros;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-gigabyte-nvidia-geforce-gtx-1650-d6-oc-4g-ddr6/p/MLB29350183#polycard_client=search-nordic&wid=MLB3871469633&sid=search&searchVariation=MLB29350183&position=18&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_653503-MLA79761106931_102024-E.webp
MLB18287137;Placa de vídeo nvidia asus  tuf gaming geforce gtx 16 series gtx 1650 tuf-gtx1650-4gd6-gaming 4gb;N/A;Classic;R$ 1.436,00;R$ 1.163,00;19% OFF;em 12x R$112,58;29/11/2024 16:14:39;https://www.mercadolivre.com.br/placa-de-video-nvidia-asus-tuf-gaming-geforce-gtx-16-series-gtx-1650-tuf-gtx1650-4gd6-gaming-4gb/p/MLB18287137#polycard_client=search-nordic&wid=MLB2159605731&sid=search&searchVariation=MLB18287137&position=3&search_layout=grid&type=product&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_806370-MLA48869909926_012022-E.webp
MLB-3949375054;Placa vídeo msi nvidia geforce gtx 1650 gddr6 ventus xs 4gb;N/A;Premium;R$ 1.139,00;R$ 1.139,00;0%;em 10x R$113,90 sem juros;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-3949375054-placa-video-msi-nvidia-geforce-gtx-1650-gddr6-ventus-xs-4gb-_JM#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_677137-MLB79507033461_092024-E.webp
MLB-3666139585;Placa de vídeo galax nvidia geforce gtx1650 4gb gddr6 65sql8;Login;Premium;R$ 1.099,00;R$ 1.099,00;0%;em 10x R$109,90 sem juros;29/11/2024 16:14:39;https://produto.mercadolivre.com.br/MLB-3666139585-placa-de-video-galax-nvidia-geforce-gtx1650-4gb-gddr6-65sql8-_JM#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=99d6318a-80ad-406e-9144-6ac3d689202b;https://http2.mlstatic.com/D_Q_NP_2X_739227-MLB75933992637_042024-E.webp
